Date,Open,High,Low,Close,Volume,Adj Close
2016-02-01,65.910004,67.93,64.68,65.32,14672500,65.32
2016-01-04,60.50,66.529999,60.200001,66.360001,14651900,66.360001
2015-12-01,59.130001,61.869999,58.32,61.299999,10540600,61.299999
2015-11-02,57.290001,61.470001,56.299999,58.84,11978600,58.351246
2015-10-01,64.760002,67.949997,57.16,57.240002,16483600,56.764538
2015-09-01,63.799999,67.010002,62.919998,64.839996,9466300,64.301399
2015-08-03,71.839996,73.690002,61.50,64.730003,11216000,64.192322
2015-07-01,71.599998,74.139999,70.360001,71.980003,7197600,70.897987
2015-06-01,74.690002,75.199997,70.779999,70.93,8530300,69.86377
2015-05-01,78.199997,79.940002,74.150002,74.269997,7875000,73.153557
2015-04-01,82.279999,82.279999,77.550003,78.050003,7261000,76.3946
2015-03-02,83.93,84.00,80.540001,82.25,6732700,80.505524
2015-02-02,84.790001,88.00,82.550003,83.93,7597400,81.659409
2015-01-02,86.269997,90.970001,84.900002,84.980003,8460300,82.681007
2014-12-01,86.720001,87.440002,82.650002,85.879997,6503100,83.556656
2014-11-03,76.349998,88.089996,75.589996,87.540001,8792600,84.698578
2014-10-01,76.510002,79.370003,72.610001,76.269997,8041600,73.79438
2014-09-02,75.419998,77.730003,75.410004,76.470001,6000100,73.987892
2014-08-01,73.32,76.199997,72.769997,75.50,5704500,73.049377
2014-07-01,75.269997,77.57,73.540001,73.580002,5900700,70.725754
2014-06-02,76.580002,77.760002,74.669998,75.07,6312100,72.157951
2014-05-01,79.730003,79.760002,75.239998,76.769997,6074400,73.792007
2014-04-01,76.760002,79.989998,76.290001,79.709999,6652800,76.14653
2014-03-03,74.489998,77.529999,73.830002,76.43,7048200,73.013161
2014-02-03,74.190002,75.989998,72.269997,74.699997,7797500,70.903061
2014-01-02,78.720001,79.470001,73.639999,74.68,7456800,70.884079
2013-12-02,80.889999,81.370003,76.809998,78.690002,5790600,74.690262
2013-11-01,76.970001,81.349998,76.589996,81.010002,5829500,76.447327
2013-10-01,73.870003,77.629997,71.510002,76.75,6765500,72.427254
2013-09-03,73.480003,76.730003,72.190002,73.959999,6543100,69.794395
2013-08-01,78.419998,79.00,72.230003,72.980003,6359700,68.869598
2013-07-01,74.989998,78.690002,74.089996,77.940002,5412100,73.106308
2013-06-03,75.059998,76.870003,72.900002,74.489998,8857800,69.870262
2013-05-01,77.849998,79.959999,74.82,74.839996,7820000,70.198555
2013-04-01,75.00,79.50,74.900002,77.720001,7865900,72.465309
2013-03-01,70.779999,75.110001,70.779999,74.830002,7941200,69.770706
2013-02-01,70.110001,71.959999,68.129997,70.779999,11807300,65.57148
2013-01-02,68.93,70.440002,67.720001,69.949997,7572500,64.802559
2012-12-03,72.110001,72.699997,67.370003,68.230003,10272300,63.209133
2012-11-01,75.129997,75.160004,67.650002,72.019997,9817700,66.352028
2012-10-01,73.800003,77.599998,73.629997,75.019997,7209900,69.115929
2012-09-04,72.769997,75.190002,72.57,73.800003,6717100,67.991943
2012-08-01,74.699997,74.959999,71.349998,72.599998,7369700,66.886383
2012-07-02,69.599998,75.239998,69.150002,74.43,10429000,68.203506
2012-06-01,65.43,69.720001,65.129997,69.720001,11425100,63.887524
2012-05-01,58.950001,66.660004,58.27,65.82,11993700,60.313782
2012-04-02,61.080002,62.490002,57.18,58.91,12963500,53.618004
2012-03-01,59.360001,61.50,58.639999,61.200001,8761900,55.70229
2012-02-01,61.790001,62.630001,58.209999,59.080002,10539900,53.415207
2012-01-03,59.970001,62.00,58.369999,61.360001,8666900,55.476589
2011-12-01,58.639999,60.00,57.419998,59.759998,9441500,54.030003
2011-11-01,55.82,59.400002,55.68,58.900002,11283700,52.921791
2011-10-03,51.880001,57.959999,51.630001,56.720001,13252400,50.963055
2011-09-01,53.200001,53.549999,49.939999,51.900002,13785000,46.632275
2011-08-01,52.790001,53.490002,48.310001,53.189999,19032900,47.79134
2011-07-01,53.189999,54.810001,52.669998,52.709999,10564800,47.019905
2011-06-01,54.98,55.169998,51.790001,53.139999,13297600,47.403488
2011-05-02,55.080002,56.470001,54.189999,55.220001,9742800,49.258949
2011-04-01,52.25,55.16,51.919998,54.98,9390400,48.722485
2011-03-01,52.16,53.880001,50.970001,52.049999,12615000,46.125961
2011-02-01,56.369999,56.73,51.52,51.98,15512600,45.743309
2011-01-03,54.23,57.900002,53.540001,56.07,13817200,49.342579
2010-12-01,54.419998,55.34,53.139999,53.93,11512500,47.459343
2010-11-01,54.049999,55.720001,53.43,54.09,12350400,47.338341
2010-10-01,53.599998,54.82,52.93,54.169998,10308400,47.408356
2010-09-01,50.490002,54.389999,50.459999,53.52,10818300,46.839489
2010-08-02,51.549999,52.48,50.00,50.139999,13541700,43.88139
2010-07-01,48.099998,51.810001,47.77,51.189999,13994800,44.540375
2010-06-01,50.799999,52.080002,48.009998,48.07,18588000,41.825668
2010-05-03,53.880001,54.950001,50.00,50.560001,20606900,43.992214
2010-04-01,55.75,55.900002,53.52,53.639999,14249000,46.402554
2010-03-01,54.040001,56.27,53.150002,55.599998,12205700,48.098095
2010-02-01,53.619999,54.50,52.66,54.07,15497700,46.512367
2010-01-29,53.68,54.150002,53.400002,53.43,48561600,45.961823
